PHX,ID - 1,First,Last,2pt Scoring,3pt Scoring,2pt vs 3pt,assist,rebound,usage,Free Throw Rt,Free Throw %
,1,Ricky,Rubio,0.45,0.35,0.62,0.38,0.08,0.23,0.27,0.83
,2,Devin,Booker,0.57,0.36,0.71,0.22,0.06,0.42,0.39,0.91
,3,Kelly,Oubre Jr.,0.53,0.34,0.6,0.08,0.09,0.24,0.31,0.78
,4,Dario,Saric,0.54,0.32,0.53,0.12,0.13,0.18,0.17,0.86
,5,Deandre,Ayton,0.56,0.22,0.99,0.1,0.2,0.32,0.18,0.83
,6,Elie,Okobo,0.42,0.37,0.6,0.24,0.06,0.17,0.09,0.68
,7,Cam,Johnson,0.47,0.41,0.31,0.1,0.08,0.17,0.15,0.75
,8,Mikal,Bridges,0.55,0.34,0.65,0.1,0.08,0.12,0.3,0.8
,9,Frank,Kaminsky,0.57,0.44,0.55,0.13,0.11,0.21,0.32,0.68
,10,Aron,Baynes,0.52,0.33,0.74,0.07,0.16,0.17,0.21,0.73
,11,Tyler,Johnson,0.44,0.34,0.55,0.19,0.07,0.17,0.32,0.76
,12,Cheick,Diallo,0.59,0.01,0.99,0.05,0.19,0.17,0.19,0.77
LAL,ID - 2,First,Last,2pt Scoring,3pt Scoring,2pt vs 3pt,assist,rebound,usage,FT rate,FT %
,1,Kentavious,Caldwell-Pope,0.51,0.42,0.54,0.08,0.06,0.16,0.21,0.83
,2,Danny,Green,0.46,0.43,0.32,0.09,0.08,0.19,0.12,0.7
,3,LeBron,James,0.6,0.34,0.74,0.4,0.12,0.41,0.28,0.69
,4,Anthony,Davis,0.55,0.33,0.86,0.17,0.27,0.38,0.45,0.87
,5,Dwight,Howard,0.59,0.12,0.99,0.07,0.2,0.2,0.64,0.5
,6,Kyle,Kuzma,0.51,0.34,0.6,0.1,0.1,0.27,0.22,0.74
,7,Quinn,Cook,0.51,0.42,0.54,0.16,0.07,0.19,0.06,0.67
,8,Avery,Bradley,0.5,0.37,0.61,0.2,0.06,0.18,0.05,0.75
,9,Alex,Caruso,0.45,0.44,0.7,0.18,0.06,0.18,0.31,0.79
,10,Javale,McGee,0.64,0.07,0.98,0.05,0.18,0.2,0.27,0.62
,11,Rajon,Rondo,0.47,0.31,0.7,0.41,0.09,0.15,0.14,0.76
,12,Troy,Daniels,0.43,0.4,0.28,0.06,0.05,0.18,0.07,0.7
GSW,ID - 3,First,Last,2pt Scoring,3pt Scoring,2pt vs 3pt,assist,rebound,usage,FT rate,FT %
,1,Stephen,Curry,0.53,0.44,0.42,0.3,0.08,0.4,0.2,0.75
,2,D'Angelo,Russell,0.48,0.36,0.58,0.35,0.07,0.32,0.2,0.75
,3,Glenn,Robinson III,0.48,0.38,0.6,0.06,0.06,0.14,0.2,0.75
,4,Draymond,Green,0.55,0.29,0.61,0.27,0.13,0.19,0.2,0.75
,5,Willie,Cauley-Stein,0.55,0.5,0.99,0.12,0.16,0.18,0.2,0.75
,6,Jordan,Poole,0.46,0.37,0.55,0.18,0.07,0.18,0.2,0.75
,7,Alec,Burks,0.43,0.37,0.65,0.13,0.09,0.2,0.2,0.75
,8,Omari,Spellman,0.47,0.35,0.48,0.08,0.13,0.15,0.2,0.75
,9,Kevon,Looney,0.65,0.13,0.97,0.11,0.15,0.13,0.2,0.75
,10,Jacob,Evans,0.37,0.27,0.72,0.13,0.07,0.14,0.2,0.75
,11,Alfonzo,McKinnie,0.58,0.35,0.57,0.04,0.13,0.14,0.2,0.75
,12,Klay,Thompson,0.52,0.42,0.57,0.11,0.06,0.3,0.2,0.75
SAC,ID - 4,First,Last,2pt Scoring,3pt Scoring,2pt vs 3pt,assist,rebound,usage,,0.75
,1,De'Aaron,Fox,0.46,0.37,0.78,0.33,0.06,0.32,0.2,0.75
,2,Buddy,Hield,0.48,0.43,0.52,0.11,0.08,0.34,0.2,0.75
,3,Harrison,Barnes,0.49,0.39,0.58,0.08,0.08,0.2,0.2,0.75
,4,Marvin,Bagley III,0.55,0.33,0.84,0.06,0.17,0.31,0.2,0.75
,5,Dewayne,Dedmon,0.57,0.38,0.59,0.08,0.16,0.17,0.2,0.75
,6,Corey,Joseph,0.45,0.32,0.68,0.21,0.07,0.14,0.2,0.75
,7,Bogdan,Bogdanovic,0.47,0.37,0.57,0.19,0.07,0.24,0.2,0.75
,8,Trevor,Ariza,0.48,0.32,0.42,0.14,0.09,0.17,0.2,0.75
,9,Nemanja,Bjelica,0.54,0.41,0.57,0.11,0.12,0.17,0.2,0.75
,10,Harry,Giles,0.52,0.01,0.99,0.15,0.16,0.22,0.2,0.75
,11,Yogi,Ferrell,0.49,0.36,0.57,0.17,0.05,0.17,0.2,0.75
,12,Richaun,Holmes,0.61,0.12,0.9,0.08,0.15,0.18,0.2,0.75
LAC,ID - 5,First,Last,2pt Scoring,3pt Scoring,2pt vs 3pt,assist,rebound,usage,0.2,0.75
,1,Patrick,Beverly,0.43,0.4,0.41,0.19,0.1,0.13,0.2,0.75
,2,Landry,Shamet,0.44,0.44,0.28,0.12,0.04,0.15,0.2,0.75
,3,Paul,George,0.47,0.38,0.54,0.18,0.11,0.37,0.2,0.75
,4,Kawhi,Leonard,0.54,0.37,0.73,0.16,0.12,0.41,0.2,0.75
,5,Montrezl ,Harrell,0.63,0.17,0.98,0.12,0.13,0.23,0.2,0.75
,6,Lou,Williams,0.45,0.35,0.73,0.34,0.06,0.32,0.2,0.75
,7,Jerome,Robinson,0.49,0.31,0.48,0.08,0.07,0.17,0.2,0.75
,8,Maurice,Harkless,0.57,0.33,0.69,0.07,0.1,0.14,0.2,0.75
,9,JaMychal,Green,0.54,0.42,0.52,0.05,0.18,0.18,0.2,0.75
,10,Ivica,Zubac ,0.54,0,1,0.1,0.2,0.2,0.2,0.75
,11,Terrence,Mann,0.48,0.28,0.75,0.08,0.12,0.16,0.2,0.75
,12,Mfiondu,Kabengele,0.46,0.32,0.83,0.03,0.14,0.14,0.2,0.75
UTH,ID - 6,First,Last,2pt Scoring,3pt Scoring,2pt vs 3pt,assist,rebound,usage,0.2,0.75
,1,Mike,Conley Jr.,0.47,0.36,0.61,0.33,0.06,0.27,0.2,0.75
,2,Donovan,Mitchell,0.48,0.36,0.64,0.21,0.07,0.39,0.2,0.75
,3,Bojan,Bogdanovic ,0.53,0.43,0.63,0.1,0.08,0.22,0.2,0.75
,4,Joe,Ingles,0.53,0.43,0.38,0.26,0.07,0.22,0.2,0.75
,5,Rudy,Gobert ,0.64,0,1,0.1,0.22,0.22,0.2,0.75
,6,Emmanuel,Mudiay,0.49,0.32,0.72,0.24,0.06,0.26,0.2,0.75
,7,Dante,Exum ,0.47,0.29,0.75,0.25,0.06,0.22,0.2,0.75
,8,Royce ,O’Neale,0.55,0.38,0.49,0.1,0.1,0.12,0.2,0.75
,9,Jeff,Green,0.57,0.36,0.56,0.09,0.1,0.2,0.2,0.75
,10,Ed,Davis,0.6,0,1,0.06,0.25,0.12,0.2,0.75
,11,Georges,Niang ,0.56,0.41,0.43,0.1,0.1,0.18,0.2,0.75
,12,Tony,Bradley,0.47,0,1,0.05,0.22,0.23,0.2,0.75
POR,ID - 7,First,Last,2pt Scoring,3pt Scoring,2pt vs 3pt,assist,rebound,usage,0.2,0.75
,1,Damian,Lillard,0.5,0.37,0.58,0.3,0.07,0.43,0.2,0.75
,2,CJ,McCollum,0.5,0.38,0.65,0.15,0.06,0.35,0.2,0.75
,3,Rodney,Hood,0.48,0.36,0.62,0.1,0.05,0.17,0.2,0.75
,4,Jusuf,Nurkic,0.52,0.1,0.96,0.18,0.2,0.24,0.2,0.75
,5,Hassan,Whiteside,0.58,0.12,0.97,0.06,0.26,0.2,0.2,0.75
,6,Anfernee,Simons,0.53,0.36,0.54,0.14,0.05,0.24,0.2,0.75
,7,Kent,Bazemore,0.47,0.32,0.56,0.15,0.08,0.23,0.2,0.75
,8,Mario,Hezonja,0.49,0.33,0.68,0.11,0.1,0.2,0.2,0.75
,9,Anthony,Tolliver,0.48,0.38,0.23,0.07,0.09,0.13,0.2,0.75
,10,Zach,Collins,0.52,0.33,0.68,0.07,0.13,0.17,0.2,0.75
,11,Skal ,Labissiere,0.58,0.37,0.89,0.11,0.15,0.17,0.2,0.75
,12,Gary,Trent Jr.,0.39,0.25,0.57,0.06,0.05,0.22,0.2,0.75
SAS,ID - 8,First,Last,2pt Scoring,3pt Scoring,2pt vs 3pt,assist,rebound,usage,0.2,0.75
,1,Dejounte,Murray,0.45,0.28,0.9,0.2,0.14,0.26,0.2,0.75
,2,Derrick,White,0.51,0.35,0.72,0.2,0.08,0.22,0.2,0.75
,3,DeMar,Derozan,0.49,0.31,0.95,0.27,0.09,0.32,0.2,0.75
,4,LaMarcus,Aldridge,0.52,0.27,0.95,0.13,0.14,0.24,0.2,0.75
,5,Jakob,Poeltl,0.63,0.3,0.99,0.11,0.18,0.15,0.2,0.75
,6,Patty,Mills,0.49,0.38,0.4,0.18,0.05,0.24,0.2,0.75
,7,Bryn,Forbes,0.49,0.43,0.49,0.11,0.06,0.17,0.2,0.75
,8,Demarre,Carroll,0.46,0.34,0.47,0.09,0.12,0.18,0.2,0.75
,9,Rudy,Gay,0.52,0.38,0.76,0.13,0.14,0.23,0.2,0.75
,10,Trey,Lyles,0.55,0.3,0.65,0.12,0.12,0.23,0.2,0.75
,11,Lonnie,Walker IV,0.38,0.38,0.7,0.1,0.09,0.2,0.2,0.75
,12,Marco,Bellinelli,0.5,0.37,0.42,0.1,0.04,0.2,0.2,0.75
HOU,ID - 9,First,Last,2pt Scoring,3pt Scoring,2pt vs 3pt,assist,rebound,usage,0.2,0.75
,1,Russell,Westbrook,0.49,0.28,0.76,0.45,0.16,0.41,0.2,0.75
,2,James,Harden,0.53,0.37,0.47,0.4,0.09,0.47,0.2,0.75
,3,Gerald,Green,0.56,0.35,0.26,0.04,0.07,0.2,0.2,0.75
,4,P.J.,Tucker,0.44,0.38,0.29,0.05,0.1,0.11,0.2,0.75
,5,Clint,Capela,0.65,0,1,0.07,0.21,0.24,0.2,0.75
,6,Austin,Rivers,0.53,0.33,0.42,0.12,0.04,0.15,0.2,0.75
,7,Eric,Gordon,0.52,0.37,0.37,0.12,0.04,0.21,0.2,0.75
,8,Ben,McLemore,0.45,0.4,0.36,0.04,0.05,0.19,0.2,0.75
,9,Thabo,Sefolosha,0.52,0.42,0.49,0.09,0.09,0.14,0.2,0.75
,10,Tyson,Chandler,0.63,0,1,0.05,0.18,0.1,0.2,0.75
,11,Anthony,Bennett,0.54,0.26,0.48,0.07,0.15,0.19,0.2,0.75
,12,Gary,Clark,0.62,0.32,0.9,0.04,0.1,0.11,0.2,0.75
DAL,ID - 10,First,Last,2pt Scoring,3pt Scoring,2pt vs 3pt,assist,rebound,usage,0.2,0.75
,1,Delon,Wright,0.51,0.28,0.71,0.25,0.1,0.19,0.2,0.75
,2,Luka,Doncic,0.52,0.33,0.55,0.33,0.14,0.34,0.2,0.75
,3,Tim,Hardaway Jr.,0.5,0.33,0.49,0.12,0.06,0.23,0.2,0.75
,4,Kristaps,Porzingis,0.46,0.38,0.73,0.07,0.11,0.31,0.2,0.75
,5,Dwight,Powell,0.68,0.31,0.75,0.1,0.14,0.17,0.2,0.75
,6,Jalen,Brunson,0.53,0.33,0.65,0.24,0.06,0.2,0.2,0.75
,7,Seth,Curry,0.47,0.44,0.48,0.08,0.05,0.19,0.2,0.75
,8,Justin,Jackson,0.53,0.36,0.54,0.08,0.07,0.16,0.2,0.75
,9,Dorian,Finney-Smith,0.53,0.32,0.52,0.08,0.11,0.14,0.2,0.75
,10,Maxi,Kleber,0.59,0.35,0.46,0.07,0.12,0.14,0.2,0.75
,11,J.J.,Barea,0.48,0.34,0.63,0.47,0.07,0.27,0.2,0.75
,12,Boban,Marjanovic,0.63,0.3,0.93,0.14,0.2,0.22,0.2,0.75
NOP,ID - 11,First,Last,2pt Scoring,3pt Scoring,2pt vs 3pt,assist,rebound,usage,0.2,0.75
,1,Lonzo,Ball,0.43,0.31,0.55,0.25,0.11,0.17,0.2,0.75
,2,Jrue,Holiday,0.54,0.33,0.69,0.3,0.07,0.25,0.2,0.75
,3,Brandon,Ingram,0.49,0.36,0.51,0.14,0.08,0.24,0.2,0.75
,4,Zion,Williamson,0.62,0.32,0.81,0.07,0.15,0.26,0.2,0.75
,5,Derrick,Favors,0.63,0.23,0.88,0.08,0.17,0.2,0.2,0.75
,6,Nickeil,Alexander-Walker,0.51,0.34,0.66,0.13,0.1,0.2,0.2,0.75
,7,JJ,Redick,0.5,0.42,0.45,0.13,0.04,0.22,0.2,0.75
,8,E'Twaun,Moore,0.52,0.44,0.65,0.11,0.05,0.17,0.2,0.75
